month,coefficient,std_error,ci_low,ci_high,is_post,mean_raw_gap,mean_adjusted_gap
2016-09,0.05935389095203655,0.023489543138347935,0.01331523238757465,0.10539254951649846,False,1.6535826781465142,0.032466150452279026
2016-10,0.043482916149038035,0.011452309252517058,0.021036802474289774,0.06592902982378629,False,1.6219201889174892,0.016595175649281042
2016-11,0.043308771218520406,0.011620513943333736,0.02053298240774076,0.06608456002930005,False,1.6220589541799284,0.016421030718764145
2016-12,0.042984645532414656,0.011371665586543796,0.020696590538555267,0.06527270052627404,False,1.5983699092691808,0.016096905032658367
2017-01,0.03249546017578293,0.01352791919520147,0.005981225767419971,0.059009694584145886,False,1.5864956577441687,0.005607719676025723
2017-02,0.022647644514140426,0.01738911369473488,-0.011434392050612169,0.05672968107889302,False,1.5996245247893401,-0.004240095985616207
2017-03,0.029659064898533247,0.009193485789975175,0.011640163857801138,0.047677965939265356,False,1.6025923637483404,0.0027713243987761713
2017-04,0.04303143318766148,0.01769144370291094,0.008356840695438107,0.07770602567988485,False,1.6227834218687527,0.01614369268790406
2017-05,0.034469749100180684,0.008508671139369078,0.017793060110721907,0.051146438089639465,False,1.6218588827087532,0.007582008600423842
2017-06,0.05403053964690461,0.01676784868303563,0.021166160129937397,0.08689491916387182,False,1.6758521789014376,0.02714279914714807
2017-07,0.022105241653882557,0.012978101451935646,-0.0033313697796182908,0.0475418530873834,False,1.6693599136138118,-0.004782498845874407
2017-08,0.03695114164453965,0.012091207211972136,0.013252810979463306,0.060649472309615995,False,1.6886193261190041,0.010063401144782802
2017-09,0.028834360770345426,0.011520907766872516,0.006253796478067515,0.05141492506262334,False,1.623063147964824,0.0019466202705889243
2017-10,0.0329408971840037,0.010605479325025419,0.012154539668169716,0.053727254699837676,False,1.6113781699524548,0.006053156684246631
2017-11,0.059181183107137936,0.00865730091395431,0.0422131851124618,0.07614918110181407,False,1.6379313660685455,0.032293442607381054
2017-12,0.04412777320113767,0.011386377796449713,0.02181088280572969,0.06644466359654565,False,1.5995130369379038,0.017240032701381424
2018-01,0.020575051704679007,0.01251267898793662,-0.003949348461787863,0.045099451871145876,False,1.5745752492730656,-0.006312688795077515
2018-02,0.04121910500292078,0.009185387142933245,0.023216077018714355,0.05922213298712721,False,1.6181959852781203,0.014331364503163715
2018-03,-0.007847566279018477,0.010496091064567465,-0.028419526744023385,0.01272439418598643,False,1.5650857325707892,-0.03473530677877497
2018-04,0.00394600531055207,0.016455036957605397,-0.028305274490630052,0.036197285111734194,False,1.583697993991644,-0.022941735189204535
2018-05,0.02993299033629888,0.009642304382101726,0.011034421019406757,0.048831559653191005,False,1.6173221239448718,0.003045249836542193
2018-06,0.013043917202979084,0.015647510920640484,-0.017624640649173448,0.043712475055131615,False,1.6348655564575123,-0.013843823296777321
2018-07,0.02267488085284546,0.00862814740292979,0.00576402268980027,0.039585739015890645,False,1.6699295528127749,-0.004212859646911201
2018-08,0.0231767222494391,0.010038317586064308,0.0035019813153780027,0.0428514631835002,False,1.674844906723904,-0.0037110182503172556
2018-09,0.016854673319149964,0.01159322861109883,-0.005867637223143055,0.03957698386144298,False,1.6110834605136286,-0.010033067180606725
2018-10,0.031444797831413074,0.010085044232745989,0.011678474352737552,0.05121112131008859,False,1.6098820705998644,0.0045570573316562335
2018-11,0.010297046217432415,0.008342787442828084,-0.0060545167011836435,0.026648609136048475,False,1.5890472291788404,-0.01659069428232418
2018-12,0.02132104052411135,0.012103055237698166,-0.002400511844675917,0.04504259289289862,False,1.5767063042608769,-0.0055666999756453705
2019-01,0.027869393328364377,0.01149180959670835,0.005345860401624249,0.050392926255104505,False,1.5818695908967508,0.000981652828607666
2019-02,0.015084587588679827,0.010381234295068792,-0.005262257744727061,0.03543143292208671,False,1.5920614678638798,-0.011803152911076762
2019-03,0.03513118360464748,0.012296135985345484,0.011031199924363404,0.05923116728493156,False,1.6080644824544548,0.008243443104890702
